"member_name","term","coord1D","party"
"Legislator 59",17,-0.658510506153107,NA
"Legislator 6",17,-1,NA
"Legislator 60",17,0.540615677833557,NA
"Legislator 61",17,0.17071644961834,NA
"Legislator 62",17,0.2837093770504,NA
"Legislator 63",17,0.3222476541996,NA
"Legislator 64",17,0.643648564815521,NA
"Legislator 65",17,0.462218046188354,NA
"Legislator 66",17,-0.0511448010802269,NA
"Legislator 67",17,0.658793091773987,NA
"Legislator 68",17,0.144048988819122,NA
"Legislator 69",17,0.460482120513916,NA
"Legislator 7",17,-0.124957978725433,NA
"Legislator 70",17,0.16019843518734,NA
"Legislator 71",17,0.517210125923157,NA
"Legislator 72",17,0.134216919541359,NA
"Legislator 73",17,-0.00631444016471505,NA
"Legislator 74",17,0.527962148189545,NA
"Legislator 75",17,0.282555520534515,NA
"Legislator 76",17,-0.688710808753967,NA
"Legislator 77",17,-0.0581779219210148,NA
"Legislator 78",17,0.282041966915131,NA
"Legislator 79",17,-0.310885637998581,NA
"Legislator 8",17,-0.300704956054688,NA
"Legislator 80",17,0.0863117203116417,NA
"Legislator 81",17,-0.51008129119873,NA
"Legislator 82",17,-0.0818952545523643,NA
"Legislator 83",17,-0.0474014841020107,NA
"Legislator 84",17,-0.73716151714325,NA
"Legislator 85",17,-0.833682239055634,NA
"Legislator 86",17,-1,NA
"Legislator 87",17,-0.280037313699722,NA
"Legislator 88",17,-0.56836986541748,NA
"Legislator 89",17,-0.293935149908066,NA
"Legislator 9",17,-0.759566426277161,NA
"Legislator 90",17,-0.729810953140259,NA
"Legislator 91",17,-1,NA
"Legislator 92",17,-1,NA
"Legislator 93",17,-0.604256749153137,NA
"Legislator 94",17,-0.330429285764694,NA
"Legislator 95",17,-0.365313440561295,NA
"Legislator 96",17,-0.357635825872421,NA
"Legislator 97",17,-0.605162262916565,NA
"Legislator 98",17,-1,NA
"Legislator 99",17,-0.653569877147675,NA
