"member_id","coord1D","term","party","member_name","aligned","party_bloc"
"ZYP7962W",-0.722183644771576,22,"국민의힘","김석기",-0.431534755679945,"conservative"
"X7E7893P",-0.778923392295837,22,"국민의힘","김장겸",-0.468461670827788,"conservative"
"P0F1530P",-0.567498922348022,22,"국민의힘","김태호",-0.330864064165857,"conservative"
"FU87526G",-0.912632703781128,22,"국민의힘","박수영",-0.555481310765075,"conservative"
"AEJ19639",-0.629505157470703,22,"국민의힘","박정훈",-0.37121847325154,"conservative"
"GP21946O",-0.81798779964447,22,"국민의힘","박충권",-0.493885260434825,"conservative"
"7XY7109I",-0.719228267669678,22,"국민의힘","성일종",-0.429611360454666,"conservative"
"6EN68926",-0.702444076538086,22,"국민의힘","송언석",-0.418688005508886,"conservative"
"OWD1018N",-0.794528067111969,22,"국민의힘","신동욱",-0.478617382264441,"conservative"
"RMC1840P",-0.656382441520691,22,"국민의힘","신성범",-0.388710535356574,"conservative"
"8348421R",-0.734170734882355,22,"국민의힘","엄태영",-0.439336099159681,"conservative"
"8UC4779G",-0.634482979774475,22,"국민의힘","우재준",-0.374458100318153,"conservative"
"MU69217P",-0.789379894733429,22,"국민의힘","유상범",-0.475266889305206,"conservative"
"8L52480G",-0.657778441905975,22,"국민의힘","이상휘",-0.389619069321265,"conservative"
"LJK4960Z",-0.734763205051422,22,"국민의힘","정점식",-0.439721685924081,"conservative"
"IWK63872",-0.656535446643829,22,"국민의힘","조배숙",-0.388810112944524,"conservative"
"GJK57930",-0.626329720020294,22,"국민의힘","주진우",-0.369151860085198,"conservative"
"WJG74792",-0.758524775505066,22,"국민의힘","최수진",-0.455186003870615,"conservative"
"UF53617M",-0.930061757564545,22,"국민의힘","최은석",-0.566824350137822,"conservative"
"1SR94244",-0.773651838302612,22,"국민의힘","김소희",-0.465030879618823,"conservative"
"CNW5754J",-0.721846997737885,22,"국민의힘","송석준",-0.431315661711601,"conservative"
"8X15119P",-0.949609816074371,22,"국민의힘","윤한홍",-0.579546463460388,"conservative"
"8SV6917G",-0.737753689289093,22,"국민의힘","주호영",-0.441667929298679,"conservative"
"9VR65006",-0.604583024978638,22,"국민의힘","윤영석",-0.354998847469026,"conservative"
"MSY7784L",-0.699302852153778,22,"국민의힘","윤상현",-0.416643658620489,"conservative"
"S9U45255",-0.82498437166214,22,"국민의힘","이양수",-0.498438714274424,"conservative"
"YN160848",0.63073456287384,22,"조국혁신당","백선희",0.448960805819193,"new_liberal"
"2KM3589W",0.968827545642853,22,"진보당","손솔",0.668995815341469,"left"
"CC78321E",0.579216837882996,22,"무소속","최혁진",0.415432446206147,"independent"
"RBM5454A",0.475666850805283,22,"더불어민주당","이주희",0.348040860003831,"liberal"
