"member_id","term","coord1D","se1D","member_name","party"
"HTK5293K",20,0.235414147377014,0,"김종회","무소속"
"A935446Z",20,1,0,"김종훈","민중당"
"SY09851R",20,-0.0888616144657135,0,"김중로","민생당"
"N6C1899K",20,-0.710740208625793,0,"김진태","미래통합당"
"YBM9779M",20,-0.278862029314041,0,"김한표","미래통합당"
"CXA6162I",20,-0.431969732046127,0,"김현아","미래통합당"
"WV97281W",20,-0.186601981520653,0,"문진국","미래한국당"
"Y3E8697I",20,-0.464558929204941,0,"민경욱","미래통합당"
"EUR98126",20,-0.312967330217361,0,"박맹우","미래한국당"
"YLM92014",20,0.0573486723005772,0,"박순자","미래통합당"
"A3H7195R",20,0.306702464818954,0,"박완주","무소속"
"IQ54138I",20,-0.441154718399048,0,"박인숙","미래통합당"
"XT18076X",20,0.292690545320511,0,"박주선","민생당"
"UDB4825U",20,0.588992714881897,0,"박주현","민생당"
"8EL9225R",20,0.406744599342346,0,"박준영","민주평화당"
"BT62420K",20,0.382204234600067,0,"박찬대","더불어민주당"
"9CR4440H",20,-0.427371054887772,0,"배덕광","자유한국당"
"8DK7238W",20,0.397840172052383,0,"백재현","더불어민주당"
"TKJ4800F",20,0.337555080652237,0,"서영교","더불어민주당"
"7XY7109I",20,-0.45636522769928,0,"성일종","국민의힘"
"ZDR63255",20,0.428792148828506,0,"소병훈","더불어민주당"
"ZBX31520",20,0.565359532833099,0,"손혜원","열린민주당"
"CNW5754J",20,-0.302018374204636,0,"송석준","국민의힘"
"FGX4881A",20,-0.430446654558182,0,"심재철","미래통합당"
"TST4507I",20,0.337819546461105,0,"안규백","더불어민주당"
"XEF29171",20,0.247200146317482,0,"안호영","더불어민주당"
"B6F5266B",20,-0.476218700408936,0,"엄용수","자유한국당"
"6DG91769",20,0.28327339887619,0,"원혜영","더불어민주당"
"RQQ3807K",20,0.531124174594879,0,"위성곤","더불어민주당"
"GX38539O",20,0.278163582086563,0,"유동수","더불어민주당"
"I7Z3068X",20,0.260673552751541,0,"유성엽","민생당"
"8X46899U",20,0.971184968948364,0,"윤소하","정의당"
"U9G5099O",20,0.198038190603256,0,"윤영일","민생당"
"I7R13867",20,0.327934503555298,0,"이개호","더불어민주당"
"OQO34632",20,0.113881498575211,0,"이동섭","민생당"
"X9Y63914",20,0.301828324794769,0,"이용주","무소속"
"3ZR4438W",20,0.479220271110535,0,"이인영","더불어민주당"
"2SE64657",20,-0.519976556301117,0,"이장우","미래통합당"
"UQ282145",20,0.601279377937317,0,"이재정","더불어민주당"
"7AN97172",20,-0.159461587667465,0,"이정현","무소속"
"2XI97689",20,-0.464826941490173,0,"이종구","미래통합당"
"11N7618M",20,-0.360766381025314,0,"이종명","미래한국당"
"8IN46764",20,-0.334240257740021,0,"이주영","미래통합당"
"0ID22746",20,-0.572514533996582,0,"이진복","미래통합당"
"LSK9789D",20,0.340595573186874,0,"이철희","더불어민주당"
"K5F2023J",20,0.406948328018188,0,"이학영","더불어민주당"
"EH27538E",20,-0.225214421749115,0,"임이자","국민의힘"
"V8I36226",20,0.226041555404663,0,"장병완","민생당"
"9YO73104",20,0.38236740231514,0,"전재수","더불어민주당"
"QZF33498",20,-1,0,"전희경","미래통합당"
